period 0,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8
,,,,,,,,100
,,,,83.41344102,,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,86.04067813,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,77.96098398,,,,,,,
,,,,,,,,106.4957532
,,,,,,,100.7613761,
,,,,,,,,106.4957532
,,,,,,95.79392706,,
,,,,,,,,106.4957532
,,,,,,,100.6369721,
,,,,,,,,105.9957532
,,,,,90.83992129,,,
,,,,,,,,104.8287707
,,,,,,,98.81094201,
,,,,,,,,103.3287707
,,,,,,93.27537748,,
,,,,,,,,101.743405
,,,,,,,96.26492313,
,,,,,,,,101.743405
,,,,86.111946,,,,
,,,,,,,,103.0853657
,,,,,,,97.16141249,
,,,,,,,,101.5853657
,,,,,,91.70661025,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,87.17064143,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,82.08930652,,,,,
,,,,,,,,103.0853657
,,,,,,,97.16141249,
,,,,,,,,101.5853657
,,,,,,91.70661025,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,87.17064143,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,83.41344102,,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,86.04067813,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,78.36364523,,,,,,
,,,,,,,,103.0853657
,,,,,,,97.16141249,
,,,,,,,,101.5853657
,,,,,,91.70661025,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,87.17064143,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,83.41344102,,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,86.04067813,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,80.16313592,,,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,86.04067813,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,82.69591339,,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,86.04067813,,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
,,,,,,89.98294802,,
,,,,,,,,100
,,,,,,,94.61539361,
,,,,,,,,100
