period 0,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8,,
,,,,,,,,4105.176319,,
,,,,,,,,113.5617539,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,107.3224964,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,113.0617539,,
,,,,,,,,0,,
,,,,,3686.342206,,,,,
,,,,,97.32827406,,,,,
,,,,,0.001457988,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,113.0060931,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,106.7967558,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,112.5060931,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,100.993115,,,,
,,,,,,0.002938339,,,,
,,,,,,,,3310.24,,
,,,,,,,,110.9207274,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,104.6992748,,,
,,,,,,,0.001560055,,,
,,,,,,,,2669.237081,,
,,,,,,,,109.9207274,,
,,,,,,,,0,,
,,,,3310.24,,,,,,
,,,,92.55172477,,,,,,
,,,,0.00426544,,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,111.2626881,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,105.1472262,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,110.7626881,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,99.42434781,,,,
,,,,,,0.002938339,,,,
,,,,,,,,3310.24,,
,,,,,,,,109.1773224,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,103.0497453,,,
,,,,,,,0.001560055,,,
,,,,,,,,2669.237081,,
,,,,,,,,108.1773224,,
,,,,,,,,0,,
,,,,,2972.509942,,,,,
,,,,,94.28346559,,,,,
,,,,,0.004073459,,,,,
,,,,,,,,3310.24,,
,,,,,,,,108.0660007,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,101.9982639,,,
,,,,,,,0.001560055,,,
,,,,,,,,2669.237081,,
,,,,,,,,107.0660007,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,96.81324898,,,,
,,,,,,0.001211503,,,,
,,,,,,,,2669.237081,,
,,,,,,,,107.0660007,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,101.300918,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,107.0660007,,
,,,,,,,,0,,
,3686.342206,,,,,,,,,
,83.10433401,,,,,,,,,
,0.004955764,,,,,,,,,
,,,,,,,,6313.591524,,
,,,,,,,,112.2111345,,
,,,,,,,,0,,
,,,,,,,5669.441967,,,
,,,,,,,106.1690066,,,
,,,,,,,0,,,
,,,,,,,,5091.012317,,
,,,,,,,,112.2111345,,
,,,,,,,,0,,
,,,,,,5091.012317,,,,
,,,,,,100.9708868,,,,
,,,,,,0,,,,
,,,,,,,,5091.012317,,
,,,,,,,,112.2111345,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,106.1690066,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,112.2111345,,
,,,,,,,,0,,
,,,,,4571.597446,,,,,
,,,,,96.53697224,,,,,
,,,,,3.46E-05,,,,,
,,,,,,,,5091.012317,,
,,,,,,,,112.2111345,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,106.1690066,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,112.2111345,,
,,,,,,,,0,,
,,,,,,4105.176319,,,,
,,,,,,100.9367956,,,,
,,,,,,0.000140529,,,,
,,,,,,,,4105.176319,,
,,,,,,,,112.2111345,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,106.0446026,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,111.7111345,,
,,,,,,,,0,,
,,,,4105.176319,,,,,,
,,,,92.66325149,,,,,,
,,,,0.00041884,,,,,,
,,,,,,,,5091.012317,,
,,,,,,,,112.2111345,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,106.1690066,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,112.2111345,,
,,,,,,,,0,,
,,,,,,4105.176319,,,,
,,,,,,100.9367956,,,,
,,,,,,0.000140529,,,,
,,,,,,,,4105.176319,,
,,,,,,,,112.2111345,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,106.0446026,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,111.7111345,,
,,,,,,,,0,,
,,,,,3686.342206,,,,,
,,,,,96.16619195,,,,,
,,,,,0.001457988,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,111.6554736,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,105.5188619,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,111.1554736,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,99.77778786,,,,
,,,,,,0.002938339,,,,
,,,,,,,,3310.24,,
,,,,,,,,109.5701079,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,103.4213809,,,
,,,,,,,0.001560055,,,
,,,,,,,,2669.237081,,
,,,,,,,,108.5701079,,
,,,,,,,,0,,
,,,3686.342206,,,,,,,
,,,88.19106289,,,,,,,
,,,0.004182623,,,,,,,
,,,,,,,,5091.012317,,
,,,,,,,,110.3972601,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,104.4528022,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,110.3972601,,
,,,,,,,,0,,
,,,,,,4105.176319,,,,
,,,,,,99.30461795,,,,
,,,,,,0.000140529,,,,
,,,,,,,,4105.176319,,
,,,,,,,,110.3972601,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,104.3283982,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,109.8972601,,
,,,,,,,,0,,
,,,,,3686.342206,,,,,
,,,,,94.19680425,,,,,
,,,,,0.003168241,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,108.7302776,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,102.5023681,,,
,,,,,,,0.001886944,,,
,,,,,,,,3310.24,,
,,,,,,,,107.2302776,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,96.78606838,,,,
,,,,,,0.003566691,,,,
,,,,,,,,3310.24,,
,,,,,,,,105.6449119,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,99.95634921,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,105.6449119,,
,,,,,,,,0,,
,,,,3310.24,,,,,,
,,,,89.33833274,,,,,,
,,,,0.005140255,,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,106.9868726,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,100.8528386,,,
,,,,,,,0.001886944,,,
,,,,,,,,3310.24,,
,,,,,,,,105.4868726,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,95.21730114,,,,
,,,,,,0.003566691,,,,
,,,,,,,,3310.24,,
,,,,,,,,103.9015069,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,98.30681969,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,103.9015069,,
,,,,,,,,0,,
,,,,,2972.509942,,,,,
,,,,,90.52752439,,,,,
,,,,,0.002689008,,,,,
,,,,,,,,3310.24,,
,,,,,,,,103.9015069,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,98.30681969,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,103.9015069,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,93.49363892,,,,
,,,,,,0,,,,
,,,,,,,,2669.237081,,
,,,,,,,,103.9015069,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,98.30681969,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,103.9015069,,
,,,,,,,,0,,
,,3310.24,,,,,,,,
,,83.38223554,,,,,,,,
,,0.006292384,,,,,,,,
,,,,,,,,5091.012317,,
,,,,,,,,108.5154858,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,102.672354,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,108.5154858,,
,,,,,,,,0,,
,,,,,,4105.176319,,,,
,,,,,,97.61134197,,,,
,,,,,,0.000140529,,,,
,,,,,,,,4105.176319,,
,,,,,,,,108.5154858,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,102.54795,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,108.0154858,,
,,,,,,,,0,,
,,,,,3686.342206,,,,,
,,,,,92.57771289,,,,,
,,,,,0.003168241,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,106.8485033,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,100.7219199,,,
,,,,,,,0.001886944,,,
,,,,,,,,3310.24,,
,,,,,,,,105.3485033,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,95.09279239,,,,
,,,,,,0.003566691,,,,
,,,,,,,,3310.24,,
,,,,,,,,103.7631376,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,98.17590105,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,103.7631376,,
,,,,,,,,0,,
,,,,3310.24,,,,,,
,,,,87.78218229,,,,,,
,,,,0.005140255,,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,105.1050983,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,99.07239041,,,
,,,,,,,0.001886944,,,
,,,,,,,,3310.24,,
,,,,,,,,103.6050983,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,93.52402515,,,,
,,,,,,0.003566691,,,,
,,,,,,,,3310.24,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,96.52637153,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,2972.509942,,,,,
,,,,,88.90843302,,,,,
,,,,,0.002689008,,,,,
,,,,,,,,3310.24,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,96.52637153,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,91.80036293,,,,
,,,,,,0,,,,
,,,,,,,,2669.237081,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,96.52637153,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,2972.509942,,,,,,,
,,,83.69935632,,,,,,,
,,,0.004209817,,,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,105.1050983,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,99.07239041,,,
,,,,,,,0.001886944,,,
,,,,,,,,3310.24,,
,,,,,,,,103.6050983,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,93.52402515,,,,
,,,,,,0.003566691,,,,
,,,,,,,,3310.24,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,96.52637153,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,2972.509942,,,,,
,,,,,88.90843302,,,,,
,,,,,0.002689008,,,,,
,,,,,,,,3310.24,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,96.52637153,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,91.80036293,,,,
,,,,,,0,,,,
,,,,,,,,2669.237081,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,96.52637153,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,2669.237081,,,,,,
,,,,85.08367731,,,,,,
,,,,0.001963091,,,,,,
,,,,,,,,3310.24,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,96.52637153,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,,2669.237081,,,,
,,,,,,91.80036293,,,,
,,,,,,0,,,,
,,,,,,,,2669.237081,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,96.52637153,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,2396.905893,,,,,
,,,,,87.77846973,,,,,
,,,,,0,,,,,
,,,,,,,,2669.237081,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,,,2396.905893,,,
,,,,,,,96.52637153,,,
,,,,,,,0,,,
,,,,,,,,2152.359526,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,,2152.359526,,,,
,,,,,,91.80036293,,,,
,,,,,,0,,,,
,,,,,,,,2152.359526,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
,,,,,,,1932.763211,,,
,,,,,,,96.52637153,,,
,,,,,,,0,,,
,,,,,,,,1735.571396,,
,,,,,,,,102.0197326,,
,,,,,,,,0,,
3310.24,,,,,,,,,,
79.13640058,,,,,,,,,,
0.007205264,,,,,,,,,,
,,,,,,,,6313.591524,,
,,,,,,,,110.1914019,,
,,,,,,,,0,,
,,,,,,,5669.441967,,,
,,,,,,,104.2580287,,,
,,,,,,,0,,,
,,,,,,,,5091.012317,,
,,,,,,,,110.1914019,,
,,,,,,,,0,,
,,,,,,5091.012317,,,,
,,,,,,99.15347192,,,,
,,,,,,0,,,,
,,,,,,,,5091.012317,,
,,,,,,,,110.1914019,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,104.2580287,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,110.1914019,,
,,,,,,,,0,,
,,,,,4571.597446,,,,,
,,,,,94.79918065,,,,,
,,,,,3.46E-05,,,,,
,,,,,,,,5091.012317,,
,,,,,,,,110.1914019,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,104.2580287,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,110.1914019,,
,,,,,,,,0,,
,,,,,,4105.176319,,,,
,,,,,,99.11938071,,,,
,,,,,,0.000140529,,,,
,,,,,,,,4105.176319,,
,,,,,,,,110.1914019,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,104.1336246,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,109.6914019,,
,,,,,,,,0,,
,,,,4105.176319,,,,,,
,,,,90.9930152,,,,,,
,,,,0.00041884,,,,,,
